GO_ID,SPECIES,local_cc_10,edges_10
GO_0005975,SC,0.205253961,0.406098636
GO_0006091,SC,0.317818247,0.414372552
GO_0006099,SC,0.461700546,0.158146007
GO_0006259,SC,0.204457923,0.390980765
GO_0006260,SC,0.458419384,0.57640472
GO_0006281,SC,0.190572529,0.352878202
GO_0006310,SC,0.312656021,0.411792791
GO_0006325,SC,0.145086765,0.414477274
GO_0006351,SC,0.245488733,0.465583038
GO_0006355,SC,0.076621498,0.146620123
GO_0006399,SC,0.141656595,0.244967169
GO_0006412,SC,0.326378056,0.484078118
GO_0006457,SC,0.185711958,0.333788094
GO_0006486,SC,0.382094076,0.441649794
GO_0006520,SC,0.152495983,0.187626004
GO_0006575,SC,0.243850205,0.348705743
GO_0006629,SC,0.240492413,0.261014194
GO_0006766,SC,0.040998744,0.130908994
GO_0006790,SC,0.218566061,0.180833158
GO_0006886,SC,0.188837398,0.131884076
GO_0006913,SC,0.222253808,0.317174032
GO_0006914,SC,0.204497552,0.287698134
GO_0006954,SC,0,0
GO_0007005,SC,0.170276115,0.375076607
GO_0007010,SC,0.273188882,0.393281938
GO_0007018,SC,0.319880665,0.184811702
GO_0007031,SC,0.515617808,0.6893007
GO_0007040,SC,0,0
GO_0007049,SC,0.25638614,0.465489971
GO_0007059,SC,0.192478255,0.286661681
GO_0007155,SC,0,0
GO_0007163,SC,0.158895626,0.091136188
GO_0007568,SC,0,0
GO_0008361,SC,-0.201133071,-0.208784911
GO_0009295,SC,-0.08470665,-0.22499424
GO_0012501,SC,0.329128167,0.304439537
GO_0015979,SC,0,0
GO_0016071,SC,0.256973326,0.392409774
GO_0016073,SC,0.230403527,0.287468676
GO_0016192,SC,0.287492226,0.410897614
GO_0022414,SC,0.1896841,0.32331584
GO_0022600,SC,0,0
GO_0023052,SC,0.083015639,0.124623956
GO_0030154,SC,0.029109968,0.0417703
GO_0030163,SC,0.19695518,0.334127322
GO_0030198,SC,0,0
GO_0031047,SC,-0.187866175,-0.288054043
GO_0032200,SC,0.193772821,0.310137225
GO_0034330,SC,0,0
GO_0036211,SC,-0.024419852,0.040488969
GO_0042060,SC,0,0
GO_0042254,SC,0.340410323,0.503010572
GO_0044782,SC,0,0
GO_0048856,SC,0.087160223,0.152605223
GO_0048870,SC,0,0
GO_0050877,SC,0,0
GO_0050886,SC,0,0
GO_0051301,SC,0.199449818,0.233102012
GO_0051604,SC,0.231128404,0.19888751
GO_0051726,SC,0.28070565,0.419255253
GO_0055065,SC,0.110892549,0.18042273
GO_0055085,SC,0.001585319,-0.132212034
GO_0055086,SC,0.136559,0.180140927
GO_0061007,SC,0,0
GO_0061024,SC,0.116798458,0.14774692
GO_0065003,SC,0.065226168,0.007066095
GO_0071554,SC,0.13729807,0.109597771
GO_0071941,SC,0,0
GO_0072659,SC,-0.155799157,-0.032286511
GO_0098542,SC,0,0
GO_0098754,SC,0.374633077,0.421176495
GO_0140013,SC,0.292956932,0.323757212
GO_0140014,SC,0.142249685,0.386241912
GO_0140053,SC,0.191260464,0.205100126
GO_1901135,SC,0.195443818,0.203759462
GO_0000278,SP,0.235529466,0.322208835
GO_0000502,SP,0.599365481,0.085135514
GO_0000902,SP,0,0
GO_0000910,SP,0.104855703,0.061666796
GO_0002181,SP,0.267865346,0.304521666
GO_0002376,SP,0,0
GO_0003012,SP,0,0
GO_0003013,SP,0,0
GO_0003014,SP,0,0
GO_0003016,SP,0,0
GO_0005975,SP,0.35954372,0.438157876
GO_0006091,SP,0.2321442,0.290785546
GO_0006099,SP,0.776553526,0.085490068
GO_0006259,SP,0.216620088,0.37079271
GO_0006260,SP,0.352459713,0.450170164
GO_0006281,SP,0.186054646,0.375624222
GO_0006310,SP,0.233312746,0.366380226
GO_0006325,SP,0.185197926,0.339002272
GO_0006351,SP,0.3273978,0.382463194
GO_0006355,SP,0.137612234,0.245439246
GO_0006399,SP,0.13336293,0.215378727
GO_0006412,SP,0.384386797,0.479171542
GO_0006457,SP,0.295511022,0.327062853
GO_0006486,SP,0.271172331,0.430963797
GO_0006520,SP,0.161930646,0.298898067
GO_0006575,SP,0.279667191,0.289709748
GO_0006629,SP,0.195861813,0.218693458
GO_0006766,SP,0.167854438,0.233636896
GO_0006790,SP,0.232037994,0.155731204
GO_0006886,SP,0.216261529,0.133917762
GO_0006913,SP,0.284870751,0.384420463
GO_0006914,SP,0.304469944,0.425890404
GO_0006954,SP,0,0
GO_0007005,SP,0.321166362,0.369530605
GO_0007010,SP,0.250566884,0.33556631
GO_0007018,SP,0.210622819,0.010144674
GO_0007031,SP,0.60976865,0.418494668
GO_0007040,SP,0,0
GO_0007049,SP,0.288402327,0.443386096
GO_0007059,SP,0.279849105,0.346850617
GO_0007155,SP,0,0
GO_0007163,SP,0.121859915,0.142919372
GO_0007568,SP,0,0
GO_0008361,SP,0,0
GO_0009295,SP,0,0
GO_0012501,SP,0,0
GO_0015979,SP,0,0
GO_0016071,SP,0.28811802,0.367659176
GO_0016073,SP,0.166734783,0.332745779
GO_0016192,SP,0.207356393,0.393548766
GO_0022414,SP,0.281618832,0.45918328
GO_0022600,SP,0,0
GO_0023052,SP,0.148175942,0.169358008
GO_0030154,SP,-0.008896318,-0.078042668
GO_0030163,SP,0.303918032,0.455738893
GO_0030198,SP,0,0
GO_0031047,SP,0.326311546,0.340150588
GO_0032200,SP,0.263049906,0.245576933
GO_0034330,SP,0,0
GO_0036211,SP,0.157501723,0.156799348
GO_0042060,SP,0,0
GO_0042254,SP,0.315762409,0.458919238
GO_0044782,SP,0,0
GO_0048856,SP,0.055645891,0.064665988
GO_0048870,SP,0,0
GO_0050877,SP,0,0
GO_0050886,SP,0,0
GO_0051301,SP,0.15711787,0.288826388
GO_0051604,SP,0.117241069,0.188938055
GO_0051726,SP,0.050633182,0.252714807
