name,local_cc_10,edges_10
GO_0007031_SP,0.60976865,0.418494668
GO_0006260_SC,0.458419384,0.57640472
GO_0140014_AT,0.547147848,0.522274337
GO_0000502_AT,0.602446242,0.467331292
GO_0007031_DR,0.743020741,0.356845262
GO_0007031_DM,0.638439124,0.494486176
GO_0044782_DM,0.487012634,0.646077908
GO_0044782_CE,0.520580826,0.631590255
GO_0007031_HS,0.615808519,0.545074133
GO_0007031_AT,0.661001569,0.541161488
GO_0007031_SC,0.515617808,0.6893007
GO_0000502_SC,0.76502585,0.560251204
